Role,Duration,Device,B1_Fixtures,B2_Results,B3_Standings,B4_Players,B5_Comm,B6_Efficient,C1_Easy,C2_FixtureMgt,C3_ResultMgt,C4_CommMgt,C5_Stats,C6_Spectator,C7_Recommend,C8_Satisfaction,D1_OldProblems,D2_NewLikes,D3_Challenges,D4_Improvements
Player,3 to 5,Smartphone,2,1,1,2,2,1,4,5,4,4,3,4,4,5,Delayed fixture communication,Digital match reports,None really,More detailed match events
Player,Over 5,Smartphone,3,2,1,1,1,2,3,4,3,4,5,4,5,4,Poor communication,Easy to see fixtures on my phone,None,More detailed match events
Player,3 to 5,Smartphone,2,1,1,2,1,1,5,3,4,4,3,4,5,4,Poor communication,Live match updates,A bit confusing on the first day,Add player statistics like top scorers
Player,1 to 2,Smartphone,1,2,1,1,2,2,5,5,4,4,4,4,4,3,Everything was manual and slow,Transparency in results,None really,Keep improving the speed
Player,Less 1,Smartphone,2,2,2,2,2,1,5,5,5,5,4,4,4,4,Hard to know league standings,The spectator dashboard is beautiful,None,SMS notifications for fixtures
Player,3 to 5,Tablet,1,1,2,2,1,1,4,4,5,4,4,4,4,4,Paperwork was too much,The spectator dashboard is beautiful,Required a smartphone which some players lack,SMS notifications for fixtures
Coach,1 to 2,Laptop,1,1,1,4,1,1,3,4,5,3,5,4,5,3,Everything was manual and slow,Live match updates,Required a smartphone which some players lack,Allow coaches to add assistant coaches
Spectator,1 to 2,Laptop,1,2,2,1,1,4,4,4,4,5,4,5,5,5,Hard to know league standings,The spectator dashboard is beautiful,None really,Keep improving the speed
Spectator,Over 5,Smartphone,1,1,4,2,3,2,4,4,4,5,5,4,4,4,Paperwork was too much,Real-time standings,None,Mobile app version
Spectator,1 to 2,Smartphone,1,2,2,1,2,1,4,3,5,4,4,5,4,3,Everything was manual and slow,Lineup submission is very easy,None really,More detailed match events
Referee,Over 5,Smartphone,4,1,2,2,1,2,3,4,4,4,4,5,5,4,Poor communication,Saves a lot of time,Required a smartphone which some players lack,Keep improving the speed
Spectator,Over 5,Smartphone,2,3,1,1,2,2,5,4,4,3,4,4,4,5,Results were often disputed,Digital match reports,Required a smartphone which some players lack,Add player statistics like top scorers
Spectator,1 to 2,Smartphone,2,1,1,2,2,2,4,4,4,4,4,4,4,4,Hard to know league standings,Easy to see fixtures on my phone,Nothing,More detailed match events
Player,1 to 2,Smartphone,1,3,1,2,1,1,3,4,3,4,4,5,4,4,Everything was manual and slow,Real-time standings,Takes time to input all player data first,Video highlights integration
Spectator,Over 5,Smartphone,2,1,1,2,2,2,5,5,4,4,3,5,4,4,Poor communication,Lineup submission is very easy,A bit confusing on the first day,Keep improving the speed
Coach,3 to 5,Smartphone,1,2,3,2,2,1,5,4,4,4,5,5,5,5,Referees submitting results late,Live match updates,Internet connection sometimes drops,Mobile app version
Spectator,Less 1,Smartphone,1,1,2,2,2,1,4,3,4,4,3,4,4,4,Referees submitting results late,Easy to see fixtures on my phone,Takes time to input all player data first,More detailed match events
Spectator,3 to 5,Smartphone,2,2,2,1,3,1,4,5,5,5,4,4,4,4,Referees submitting results late,Saves a lot of time,A bit confusing on the first day,Allow coaches to add assistant coaches
Coach,3 to 5,Smartphone,3,3,2,2,1,2,5,5,5,5,5,5,4,5,Delayed fixture communication,Easy to see fixtures on my phone,None really,Allow coaches to add assistant coaches
Spectator,Less 1,Tablet,3,2,1,2,2,1,5,4,5,4,4,4,3,5,Results were often disputed,Transparency in results,None really,Video highlights integration
Spectator,Over 5,Laptop,3,2,2,2,2,1,5,5,4,4,3,5,4,4,Delayed fixture communication,Live match updates,Nothing,Add player statistics like top scorers
Player,Over 5,Smartphone,1,3,2,2,2,2,4,4,4,4,5,4,4,5,Delayed fixture communication,Live match updates,None really,Add player statistics like top scorers
Spectator,3 to 5,Tablet,1,3,2,1,2,3,5,4,5,4,4,4,4,4,Losing track of player cards,Easy to see fixtures on my phone,A bit confusing on the first day,Keep improving the speed
Spectator,3 to 5,Smartphone,2,2,1,3,2,1,4,4,4,5,3,5,4,4,Delayed fixture communication,Transparency in results,A bit confusing on the first day,SMS notifications for fixtures
